id;group_code;category_code;text;answers_count_min;answers_count_max;answers_count_to_choose_min;answers_count_to_choose_max;weight;status
1;evaluation;2;Обладаете ли Вы знаниями о финансовом инструменте?;4;4;1;;0;enabled
2;evaluation;2;Как долго (в совокупности) Вы осуществляете сделки с этим инструментом?;3;3;1;1;0;enabled
3;evaluation;2;Сколько сделок с этим инструментом Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
4;evaluation;4;Обладаете ли Вы знаниями о финансовом инструменте?;4;4;1;;0;enabled
5;evaluation;4;Как долго (в совокупности) Вы осуществляете сделки с этим инструментом?;3;3;1;1;0;enabled
6;evaluation;4;Сколько сделок с этим инструментом Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
7;evaluation;11;Обладаете ли Вы знаниями о финансовом инструменте?;4;4;1;;0;enabled
8;evaluation;11;Как долго (в совокупности) Вы осуществляете сделки с этим инструментом?;3;3;1;1;0;enabled
9;evaluation;11;Сколько сделок с этим инструментом Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
10;evaluation;1;Обладаете ли Вы знаниями необеспеченных сделках?;4;4;1;;0;enabled
11;evaluation;1;Как долго (в совокупности) Вы совершаете необеспеченные сделки?;3;3;1;1;0;enabled
12;evaluation;1;Сколько необеспеченных сделок Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
13;evaluation;3;Обладаете ли Вы знаниями о договорах репо?;4;4;1;;0;enabled
14;evaluation;3;Как долго (в совокупности) Вы заключаете договоры репо?;3;3;1;1;0;enabled
15;evaluation;3;Сколько договоров репо Вы заключили за последний год?<hint>В случае выбора ответа «а» на вопрос № 2 на данный вопрос (вопрос № 3) можно не отвечать.</hint>;3;3;0;1;0;enabled
16;knowledge;1;Маржинальная торговля – это:;4;4;1;1;1;enabled
